CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0866;7;5;5;3;3;9;3;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;7;5;3;0;4;3;3;5;80;14.2;3.42;4.162223741;19.04;2.19;28.66666667;72.02833333;6.95994655217264;4.44484768942713;2.12678890761636;6.51280765301537;37.5503236757712;23.8228987092471;27.6015027028813;45.5544124777271;2.30889769276073
BGM-0868;7;5;3;5;2;8;1;7;4;1;1;5;1;5;3;3;5;1;3;1;2;0;1;2;7;5;3;0;4;7;1;7;90;17.2;4.94;3.481072429;29.86;2.186666667;52;61.26;6.02387265172664;3.4209504281663;3.47970860478025;7.33278535685579;34.8810956654974;22.9084441488114;25.0984875865142;48.269426233168;2.24081843149488
BGM-0870;3;3;5;3;2;8;2;5;1;4;2;3;0;5;7;7;5;1;1;1;2;0;2;2;3;3;2;0;3;3;2;5;90;12.82;4.02;3.192426119;20.18;1.99;20.33333333;64.88222222;8.00162107433551;3.67836643419176;3.59705643945113;5.59357008349276;33.0799104327713;17.2026185700402;16.1212691392687;52.3111112872909;1.67400564354592
BGM-0886;5;5;5;5;2;5;2;5;3;3;2;5;1;5;3;3;5;2;1;1;2;2;1;2;7;3;2;1;4;3;2;5;90;11.72;3.44;3.411557272;19.26;1.466666667;19.9;54.22;6.78589518687804;5.72743825013686;3.31100804781736;4.89130696345395;31.6275525977915;17.4165820868888;16.6682708426711;50.923902243921;2.2203157761204
BGM-0901;7;5;5;5;3;7;1;5;2;2;3;5;1;5;3;3;5;2;2;1;1;1;2;2;3;3;2;0;4;7;3;5;0;17.54;4.44;3.994923077;26.62;2.64;37;81.10666667;8.03294774509116;5.05180751281968;3.16926885971213;7.87961734292647;36.7365368297014;30.8717192764176;30.2006153687021;46.7762783137016;2.01958011527372
BGM-0902;3;3;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;2;1;2;1;2;2;7;5;3;0;3;3;3;5;100;12.8;3.02;4.230478309;21.66;2.49;25.45833333;56.52;8.04452953784431;3.63091252482719;3.77308634254955;4.02041306728657;36.686590583711;11.628629690984;15.5901716001061;41.4303291553918;1.7492645493455
BGM-0929;5;5;5;3;3;6;2;5;3;2;1;5;1;3;3;3;5;1;1;1;2;3;1;4;7;3;3;1;4;3;2;5;90;15.62;1.58;9.952381851;21.16;1.68;15.66666667;60.77333333;4.44237219660097;3.7254062059277;3.90867255810818;4.29614289832504;33.8550304223124;13.839904992355;11.9253568376889;53.0638142960421;1.58549839481225
BGM-0930;7;3;5;3;3;9;3;5;4;2;2;3;1;5;3;7;5;1;1;1;1;0;1;2;7;3;3;0;3;3;3;7;0;17.64;2.26;7.908771985;21.18;2.296666667;21.66666666;52.57555556;4.33245304988222;4.29395071471491;3.08559037605506;5.29699761899581;32.1348107853406;14.1894732987542;10.9564203877083;54.930483815994;1.6823829257122
BGM-0936;5;5;5;5;3;6;2;7;2;2;3;5;0;5;3;7;5;1;2;1;3;3;2;4;3;0;3;0;4;3;3;5;100;14.9;3.32;4.518184826;22.82;3.3;20.08333333;66.03666667;8.10298398978342;4.15105123755223;3.84607575111045;5.1009415344457;34.4660451712955;16.3920215191554;23.9840277424751;36.4399649962078;2.26460649735715
BGM-0942;5;7;5;3;2;3;2;3;4;2;3;3;0;5;3;3;5;1;2;1;1;0;2;2;7;5;3;0;4;3;3;5;0;13.6;3.42;3.98523455;15.5;3.243333333;24.70833333;53.56166667;8.05473732047871;3.50840058288077;3.87181945216858;6.11716932364699;34.1539742924293;18.6128221836464;15.5930940620552;47.4273713993771;1.8549521151701
