CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0902;3;3;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;2;1;2;1;2;2;7;5;3;0;3;3;3;5;100;12.8;3.02;4.230478309;21.66;2.49;25.45833333;56.52;8.04452953784431;3.63091252482719;3.77308634254955;4.02041306728657;36.686590583711;11.628629690984;15.5901716001061;41.4303291553918;1.7492645493455
BGM-0929;5;5;5;3;3;6;2;5;3;2;1;5;1;3;3;3;5;1;1;1;2;3;1;4;7;3;3;1;4;3;2;5;90;15.62;1.58;9.952381851;21.16;1.68;15.66666667;60.77333333;4.44237219660097;3.7254062059277;3.90867255810818;4.29614289832504;33.8550304223124;13.839904992355;11.9253568376889;53.0638142960421;1.58549839481225
BGM-0936;5;5;5;5;3;6;2;7;2;2;3;5;0;5;3;7;5;1;2;1;3;3;2;4;3;0;3;0;4;3;3;5;100;14.9;3.32;4.518184826;22.82;3.3;20.08333333;66.03666667;8.10298398978342;4.15105123755223;3.84607575111045;5.1009415344457;34.4660451712955;16.3920215191554;23.9840277424751;36.4399649962078;2.26460649735715
BGM-0942;5;7;5;3;2;3;2;3;4;2;3;3;0;5;3;3;5;1;2;1;1;0;2;2;7;5;3;0;4;3;3;5;0;13.6;3.42;3.98523455;15.5;3.243333333;24.70833333;53.56166667;8.05473732047871;3.50840058288077;3.87181945216858;6.11716932364699;34.1539742924293;18.6128221836464;15.5930940620552;47.4273713993771;1.8549521151701
BGM-0946;5;9;5;9;3;9;2;7;4;2;3;5;0;5;3;3;5;1;1;1;3;2;2;1;7;5;3;1;4;3;2;5;90;14;2.68;5.25816862;19.8;2.603333333;15.125;73.47333333;8.10298398978342;2.67158015858155;3.24241024995305;4.66670066358944;31.0213991236217;14.274343654506;15.5344999702862;43.2820587367065;1.89356829619591
BGM-0957;3;3;5;3;3;9;3;3;4;3;1;3;1;5;1;7;5;1;2;1;2;2;2;3;7;3;3;1;4;3;3;5;110;12.62;2.94;4.321712159;15.48;3.123333333;24.97916667;52.91666667;8.03181092769069;3.62731082975124;4.06974350763896;4.91890380832086;35.3579798638268;16.2430531482477;18.4967363644618;44.5473525690792;1.84607819120045
BGM-0976;9;5;5;5;1;3;4;5;3;2;3;5;0;5;3;7;5;1;1;1;2;2;2;2;7;5;2;0;4;3;2;5;100;11.68;3.78;3.092807468;14.5;2.806666667;23.79166667;54.18333333;7.97147992070682;4.01472833970237;3.87015744660663;4.68899064704316;36.336273561323;11.934667040544;11.2816089498108;51.2767137806538;1.61307463607254
BGM-0994;3;5;5;3;3;9;3;5;4;2;2;3;1;5;1;3;5;1;2;1;2;2;1;2;7;5;3;0;3;3;2;5;100;12.96;4.14;3.144165602;22.78;4.166666667;15.3125;57.54833333;6.94412193702698;3.7515558170033;3.87497417090174;5.51053469431104;35.5767256419741;16.1029465977688;21.9878521557328;37.1511568885486;2.09165662722261
BGM-1042;7;1;5;3;2;5;4;5;4;4;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;5;3;0;3;5;1;7;100;14.34;3.96;3.623819869;19.98;2.363333333;22.55555556;54.38111111;3.75522254054736;3.83840387452283;4.03841217082563;5.97056621550087;35.5535948360856;20.1472803114115;27.2731476580188;41.1785402798942;2.05770677154735
BGM-1057;7;5;3;3;2;3;4;5;4;3;1;3;1;5;3;3;5;1;2;1;3;2;2;2;7;5;3;1;4;7;2;5;100;15.6;4.98;3.152018893;20.38;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;4.17872317644869;6.20532855551179;34.9235782482511;21.7595700252712;28.513015392937;44.1239579404762;2.13472877047964
