Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
598;BGM-0793;9;5;5;5;1;3;4;5;2;2;3;5;0;2;3;7;5;1;1;1;3;2;2;3;7;5;3;0;3;3;3;3;90;14.8;5.28;2.799157458;25.3;1.526666667;25.77777778;49.50555555;7.60260113180657;4.06478482793214;3.33680455442419;5.14076064261584;35.240729941418;14.5286781980742;10.9818579128625;57.0955093807883;1.60673046057503
604;BGM-0808;5;3;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;2;1;2;3;2;3;7;3;3;1;3;3;2;5;90;18.2;4.96;3.672938096;20.44;1.986666667;23.92916667;65.59083333;8.07691405262126;5.16984451744062;4.16927894238475;5.50728919447926;34.7497837511886;18.5532366986714;17.7303932383426;50.0926108034004;1.86669303825435
613;BGM-0818;5;5;1;3;2;5;4;3;4;1;1;3;1;5;1;3;3;1;2;1;2;3;2;3;7;5;3;1;3;3;2;3;110;11.26;3.62;3.087077922;14.9;1.13;34.33333333;53.1;3.57260979486556;3.86973030138093;3.6440478671651;3.86360389127372;35.4532079521715;13.560769284245;18.9085919049538;37.4784261364221;1.76893607218286
614;BGM-0819;3;3;5;3;2;3;3;3;4;1;1;5;0;5;1;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;1;5;90;9.72;3.66;2.650276713;17.9;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.27088217702751;4.98394348270261;33.4515544485309;14.8646193867973;17.2274678614225;46.6921966281002;1.84740372827982
639;BGM-0858;7;7;5;5;2;6;1;5;1;3;1;5;1;3;3;3;5;1;1;1;2;2;2;2;3;5;3;1;4;3;3;5;90;14.14;2.18;6.54465368;20.52;3.1;27.83333333;84.70666667;7.53939793661199;3.8241757324337;3.32376866481946;5.52685906827561;34.9108272110907;18.372123917692;16.3717315388326;53.24823073579;1.76548722171224
647;BGM-0872;5;3;5;3;3;9;2;5;4;2;3;7;0;5;3;3;5;1;1;1;2;1;1;1;7;5;3;0;4;3;3;5;80;14.74;4.42;3.347812677;23.16;2.423333333;26.41666667;70.39666667;5.89732281911195;3.29372312958398;3.21628511709059;4.96513179281298;32.658429602644;16.9674258932615;14.8143562754746;53.7177354540703;1.81506858460598
664;BGM-0894;7;3;5;3;3;9;3;5;4;1;1;5;1;5;3;3;5;2;1;1;1;1;2;2;7;5;3;0;3;3;1;7;80;14.62;4.28;3.415795832;22.84;2.033333333;21.33333333;51.13666667;6.1818970000718;5.16844684585633;3.73518791591394;4.87100627592561;34.0199649602073;16.9941703003458;18.0409067354011;47.8132986208444;1.78237906962431
671;BGM-0903;5;7;5;3;2;5;3;5;4;1;1;5;0;5;1;3;5;1;3;1;2;3;2;3;7;5;3;0;4;3;2;7;90;15.64;2.78;5.666385642;20.4;2.763333333;21.91666667;64.9225;8.06714500606704;4.34197614417744;2.8600078679015;6.57801672917464;36.105988496354;21.3749597125005;20.555699631485;51.3499918277312;2.23943735174535
676;BGM-0909;3;3;5;5;3;9;3;5;4;4;3;5;0;5;3;7;5;1;2;1;2;2;2;1;7;5;3;0;4;3;3;5;110;13.12;4.28;3.071538642;18.28;2.563333333;12.25;55.72333333;8.11972045567343;4.41078875250166;4.0885639812196;5.14866572461633;34.9061126397381;15.5983803846374;21.5595608664241;37.6183801417498;2.06861035157245
679;BGM-0914;3;7;5;3;3;5;4;3;4;2;3;5;1;5;3;7;5;1;1;1;2;2;2;1;7;3;2;0;4;3;1;5;90;13.12;3;4.427906792;17.24;1.436666667;20.95833333;71.79666667;8.11972045567343;3.65958444496228;3.2710047162553;5.35959870825631;33.4922857473204;17.9223634274049;18.2210068799106;43.6610756480782;2.02043644181616
687;BGM-0925;5;2;5;3;3;9;3;3;4;1;1;5;0;9;3;3;5;1;2;1;3;2;2;2;7;3;3;0;3;3;1;5;90;14.76;2.46;5.990216305;16.08;1.673333333;21;51.28666667;6.79036116905564;4.35917929625849;3.47480175859316;4.9448557152849;37.1230013363795;15.5665563563736;36.6309628577695;26.3717955591093;2.22419211208153
701;BGM-0943;5;7;5;3;3;9;2;3;4;2;2;3;0;5;3;7;5;1;2;1;2;1;2;2;7;5;3;1;3;3;1;7;70;13.2;3.2;4.166567085;26.56;2.35;25.91666667;62.28666667;8.06792786493177;4.21604092319177;3.52952593343435;4.97104196958212;34.5933716208041;13.7333119874035;18.1726040391084;37.3665655811194;1.97404538205322
